STATION,STATION_NAME,DATE,TAVG
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990320,43
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990321,45
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990322,46
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990323,45
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990324,51
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990325,45
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990326,42
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990327,45
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990328,46
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990329,56
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990330,54
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990331,62
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990401,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990402,55
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990403,51
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990404,53
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990405,48
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990406,53
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990407,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990408,66
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990409,53
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990410,51
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990411,43
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990412,47
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990413,51
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990414,55
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990415,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990416,51
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990417,51
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990418,54
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990419,54
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990420,48
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990421,54
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990422,54
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990423,51
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990424,50
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990425,54
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990426,63
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990427,55
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990428,54
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990429,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990430,56
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19990501,57
